C:\Users\HP\Desktop\car_data\IMG\center_2019_07_14_11_03_06_889.jpg,C:\Users\HP\Desktop\car_data\IMG\left_2019_07_14_11_03_06_889.jpg,C:\Users\HP\Desktop\car_data\IMG\right_2019_07_14_11_03_06_889.jpg,0,0,0,6.118699
C:\Users\HP\Desktop\car_data\IMG\center_2019_07_14_11_03_06_999.jpg,C:\Users\HP\Desktop\car_data\IMG\left_2019_07_14_11_03_06_999.jpg,C:\Users\HP\Desktop\car_data\IMG\right_2019_07_14_11_03_06_999.jpg,0,0,0,6.020743
C:\Users\HP\Desktop\car_data\IMG\center_2019_07_14_11_03_07_062.jpg,C:\Users\HP\Desktop\car_data\IMG\left_2019_07_14_11_03_07_062.jpg,C:\Users\HP\Desktop\car_data\IMG\right_2019_07_14_11_03_07_062.jpg,0,0,0,5.984416
C:\Users\HP\Desktop\car_data\IMG\center_2019_07_14_11_03_07_140.jpg,C:\Users\HP\Desktop\car_data\IMG\left_2019_07_14_11_03_07_140.jpg,C:\Users\HP\Desktop\car_data\IMG\right_2019_07_14_11_03_07_140.jpg,0,0,0,5.936318
C:\Users\HP\Desktop\car_data\IMG\center_2019_07_14_11_03_07_215.jpg,C:\Users\HP\Desktop\car_data\IMG\left_2019_07_14_11_03_07_215.jpg,C:\Users\HP\Desktop\car_data\IMG\right_2019_07_14_11_03_07_215.jpg,0,0,0,5.888608
C:\Users\HP\Desktop\car_data\IMG\center_2019_07_14_11_03_07_287.jpg,C:\Users\HP\Desktop\car_data\IMG\left_2019_07_14_11_03_07_287.jpg,C:\Users\HP\Desktop\car_data\IMG\right_2019_07_14_11_03_07_287.jpg,0,0,0,5.841281
C:\Users\HP\Desktop\car_data\IMG\center_2019_07_14_11_03_07_360.jpg,C:\Users\HP\Desktop\car_data\IMG\left_2019_07_14_11_03_07_360.jpg,C:\Users\HP\Desktop\car_data\IMG\right_2019_07_14_11_03_07_360.jpg,0,0,0,5.806036
C:\Users\HP\Desktop\car_data\IMG\center_2019_07_14_11_03_07_431.jpg,C:\Users\HP\Desktop\car_data\IMG\left_2019_07_14_11_03_07_431.jpg,C:\Users\HP\Desktop\car_data\IMG\right_2019_07_14_11_03_07_431.jpg,0,0,0,5.759372
C:\Users\HP\Desktop\car_data\IMG\center_2019_07_14_11_03_07_503.jpg,C:\Users\HP\Desktop\car_data\IMG\left_2019_07_14_11_03_07_503.jpg,C:\Users\HP\Desktop\car_data\IMG\right_2019_07_14_11_03_07_503.jpg,0,0,0,5.72462
C:\Users\HP\Desktop\car_data\IMG\center_2019_07_14_11_03_07_575.jpg,C:\Users\HP\Desktop\car_data\IMG\left_2019_07_14_11_03_07_575.jpg,C:\Users\HP\Desktop\car_data\IMG\right_2019_07_14_11_03_07_575.jpg,0,0,0,5.678611
C:\Users\HP\Desktop\car_data\IMG\center_2019_07_14_11_03_07_642.jpg,C:\Users\HP\Desktop\car_data\IMG\left_2019_07_14_11_03_07_642.jpg,C:\Users\HP\Desktop\car_data\IMG\right_2019_07_14_11_03_07_642.jpg,0,0,0,5.644347
